SupplierID,SupplierName,ContactName,Email,PhoneNumber,Country,IsActive
1,Diaz Group,Kevin Johnson,schwartzjamie@humphrey.com,(612)238-0292x7756,Jordan,1
2,"Wolf, Roy and Spencer",Brian Martin,jsalazar@davis-hess.com,+1-322-376-5413x712,Equatorial Guinea,1
3,"Morris, Chung and Meyer",Bruce Kelly,morgan41@patel.com,9176717257,Saint Barthelemy,1
4,"Hamilton, Torres and Soto",Daniel Hicks,hannah73@reyes.com,3314801414,Singapore,1
5,Palmer LLC,Sandra Juarez,deanna23@peterson-walker.org,705-657-8813,Congo,1
6,Ponce-Lutz,Danielle Pineda,adrian10@oconnell-clarke.com,001-857-628-8712x4455,Venezuela,1
7,Clay Inc,Nina King,ksmith@herrera.biz,365.986.0011,Ukraine,1
8,Ellis Group,Rhonda Turner,andrew41@bates.info,(757)321-4616,Zambia,1
9,Klein Group,Anthony Sanchez,haileyvalenzuela@hampton-clarke.com,001-284-362-5866x1198,Sri Lanka,1
10,Holland-Moore,William Gordon,stevenellison@rose.biz,808-286-0963x10294,British Indian Ocean Territory (Chagos Archipelago),1
11,West-Fitzpatrick,Kimberly Baldwin,figueroachad@larson-perry.com,709.956.2267,Kazakhstan,1
12,"Wallace, Taylor and Rivers",Carolyn Murphy,paige60@bush.com,(947)827-6985,Panama,1
13,Hughes-Prince,William Allen,tsmith@watson.com,(856)359-5261x4453,Liechtenstein,1
14,Berg-Weaver,Cory Cook,sarah28@mccormick-decker.com,726-231-9024,Maldives,1
15,"Gomez, Hudson and Murray",Ashley Brown,xmendoza@davis-howell.net,+1-934-425-3350x7017,Palau,1
16,Crane-Cannon,Roy Miller,mphillips@rodriguez.com,584.984.7194,Holy See (Vatican City State),1
17,Callahan-Peterson,Nicole Buchanan,zlopez@gibson.com,713.361.6340x03703,Eritrea,1
18,Elliott-Baker,Luis Scott,kimberly61@floyd.com,+1-984-527-8659x250,Malaysia,1
19,"Moore, Schmidt and Williams",Joshua Schneider,james51@smith.biz,+1-702-701-7798x29891,Macao,1
20,Mitchell and Sons,Carla Campbell,rodriguezcarolyn@hill.com,001-482-324-3398x2323,Liberia,1
21,"Reid, Gould and Bradley",Kelsey Nelson,arthurmcfarland@wright.com,699.255.7497,Pitcairn Islands,1
22,"Reese, Bush and Rose",Katherine Saunders,kenneth13@jones.com,250.744.7065,Guernsey,1
23,Roy-Smith,Isaac Wright,timothy87@jenkins.biz,409.236.8427,United Arab Emirates,1
24,Nielsen LLC,Shelby Hinton,tommymanning@lee.net,405-519-4872x58173,British Indian Ocean Territory (Chagos Archipelago),1
25,Franklin-Beltran,Jerry Brown,cpalmer@frye-taylor.com,588-857-5914x5983,Iceland,1
26,Shepard-Williams,Jesse Benson,george11@mckenzie-brown.com,423-558-2451x70421,Chile,1
27,"Gray, Wall and Morris",Shawn Lawson,arroyoandrew@sharp.com,001-467-971-0159x5851,Samoa,1
28,Garcia-Jensen,Donald Clay,uhughes@gonzalez-thomas.com,964.324.8697x4084,Kuwait,1
29,Silva-Dixon,Nicholas Townsend,rramirez@newton-hale.com,+1-411-987-0155x39327,Grenada,1
30,Rogers PLC,Christina Knapp,nathanieljohnson@young-larson.info,503-992-1780x01342,Oman,1
31,Little-Erickson,Steven Wright,anthony07@stout-osborn.com,(460)896-5481x2153,Moldova,1
32,Rivers LLC,Richard Jackson,anthonyrhodes@williamson.com,687.980.1542x641,Burkina Faso,1
33,Taylor Group,Ryan Esparza,joseph45@holloway-smith.org,870.522.0750,Malta,1
34,Jones Group,Jonathan Butler,carolynatkinson@carson-marks.net,(334)730-5926x289,Macao,1
35,Newman and Sons,Emily Miller,cramos@harrison.biz,265.292.8027,Iceland,1
36,"Whitehead, Long and Murphy",Steven James DDS,gstevenson@smith.org,001-519-881-1407x932,Seychelles,1
37,"Davis, Avila and Schroeder",Nicole Robinson,katelyn18@meadows.com,866-943-1143x0675,China,1
38,Medina-Flores,David Shannon,fullerandrew@wu-ballard.net,(903)583-0786x1937,Kenya,1
39,Ramsey PLC,Ronald Clark,pauljones@cannon-holder.com,+1-288-978-5285x113,Timor-Leste,1
40,"Roy, Taylor and Perry",Lisa Gonzales,jamie79@baker.com,764-984-1333x70041,Afghanistan,1
41,Thompson Group,Amanda Larson,hhuerta@johnson.biz,673-280-0210,Canada,1
42,Romero-Hughes,Jonathan Tucker,jonathan19@smith.biz,412-826-5811x1177,Grenada,1
43,Walsh-Bullock,Linda Summers,hollydavis@solis-clark.net,(210)290-3324x0909,Uruguay,1
44,Cain-Becker,James Maddox,edwin36@ross.biz,001-366-247-0295x2542,Guadeloupe,1
45,Coleman PLC,Christopher Brown,angela34@smith.biz,748.709.0898x2997,Senegal,1
46,Davis-Williams,Joseph Walker,herringjeremiah@hernandez.com,001-420-814-9233x727,North Macedonia,1
47,Wallace Ltd,Sarah Brown,abarker@holmes-frost.com,406.926.8459,Pitcairn Islands,1
48,Walter-Robinson,Brenda Nelson,smoses@murphy.biz,(788)297-5849x8974,Cocos (Keeling) Islands,1
49,Carr-Wilson,Noah Brown,shawn37@mendoza.com,557-992-8978,Belarus,1
50,Wilson-Richardson,Arthur Cooper,olsonlaura@ortiz.com,921.815.8218x16168,Egypt,1
